順位,区,町丁名,緯度,経度,新規カバー人口,設置推奨施設,周辺施設詳細,Google Maps
1,高津区,久末,35.564183,139.622941,7204,川崎市立久末小学校,学校: 川崎市立久末小学校; 寺社: 久末神社,"https://www.google.com/maps?q=35.564183,139.622941"
2,麻生区,細山四丁目,35.620824,139.512411,2720,"セブン-イレブン, クリエイトSD",コンビニ: セブン-イレブン; 薬局: クリエイトSD,"https://www.google.com/maps?q=35.620824,139.512411"
3,宮前区,東有馬五丁目,35.569719,139.59866,2458,町内会館・自治会館,,"https://www.google.com/maps?q=35.569719,139.59866"
4,麻生区,白鳥四丁目,35.606489,139.486513,2228,"OdakyuOx, 栗平調剤薬局, ツルハドラッグ","スーパー: OdakyuOx; 薬局: ツルハドラッグ, 栗平調剤薬局; 幼稚園・保育園: 白鳥保育園, 川崎市 白鳥保育園; 学校: 稲城市立平尾小学校, 川崎市立白鳥中学校; 診療所: しんゆりメンタルヘルスクリニック; 飲食店: It's a PIZZA","https://www.google.com/maps?q=35.606489,139.486513"
5,中原区,上平間,35.562627,139.678403,2192,町内会館・自治会館,,"https://www.google.com/maps?q=35.562627,139.678403"
6,麻生区,片平四丁目,35.593066,139.488245,2137,町内会館・自治会館,,"https://www.google.com/maps?q=35.593066,139.488245"
7,中原区,中丸子,35.566927,139.675554,2057,町内会館・自治会館,,"https://www.google.com/maps?q=35.566927,139.675554"
8,麻生区,高石五丁目,35.602814,139.520247,1959,町内会館・自治会館,,"https://www.google.com/maps?q=35.602814,139.520247"
9,多摩区,登戸,35.625764,139.568866,1836,"ローソンストア100, セブン-イレブン, スーパーヤヒロ","コンビニ: ファミリーマート, ローソンストア100; スーパー: スーパーヤヒロ; 薬局: セイジョー, クスリのナカヤマ薬局; 幼稚園・保育園: ぶどうの実 登戸園, ちびっこハウス; 学校: 東京都立 狛江高等学校; 寺社: 熊野山 玉泉寺; 診療所: 登戸内科・脳神経クリニック; 飲食店: 神洲之華, ニューデリ","https://www.google.com/maps?q=35.625764,139.568866"
10,麻生区,虹ケ丘三丁目,35.578491,139.524438,1816,"ミニストップ, まいばすけっと, すすき野とうきゅう","コンビニ: ミニストップ; スーパー: まいばすけっと, すすき野とうきゅう; 薬局: Fit Care DEPOT; 幼稚園・保育園: 横浜市すすき野保育園, 虹ケ丘保育園; 学校: 川崎市立虹ヶ丘小学校, 神奈川県立麻生支援学校; 飲食店: ラーメン 一","https://www.google.com/maps?q=35.578491,139.524438"
