町丁コード,区,町丁名,緯度,経度
10001,川崎区,旭町１丁目,35.5353126,139.7099266
10002,川崎区,旭町２丁目,35.5319252,139.7166435
10003,川崎区,池田１丁目,35.521531,139.6918002
10004,川崎区,池田２丁目,35.5207255,139.6929173
10005,川崎区,砂子１丁目,35.5319901,139.701502
10006,川崎区,砂子２丁目,35.5293091,139.700418
10007,川崎区,駅前本町,35.5325821,139.6998962
10008,川崎区,榎町,35.5307057,139.706561
10009,川崎区,大島１丁目,35.5241828,139.7119195
10010,川崎区,大島２丁目,35.5214314,139.7147626
10011,川崎区,大島３丁目,35.5206439,139.7182693
10012,川崎区,大島４丁目,35.5242993,139.7148483
10013,川崎区,大島５丁目,35.5238572,139.717631
10014,川崎区,大島上町,35.5207436,139.7102434
10015,川崎区,小川町,35.5301,139.6998
10016,川崎区,小田１丁目,35.515828,139.69908
10017,川崎区,貝塚１丁目,35.5251579,139.7021859
10018,川崎区,貝塚２丁目,35.5242277,139.7042196
10019,川崎区,京町１丁目,35.5178189,139.6938646
10020,川崎区,京町２丁目,35.5135413,139.6953626
10021,川崎区,京町３丁目,35.508837,139.6969505
10022,川崎区,境町,35.528,139.7055
10023,川崎区,下並木,35.5231379,139.6900209
10024,川崎区,新川通,35.538,139.7015
10025,川崎区,鈴木町,35.5370812,139.7232345
10026,川崎区,堤根,35.5249933,139.6887189
10027,川崎区,中島１丁目,35.529989,139.7165494
10028,川崎区,中島２丁目,35.5286665,139.7165
10029,川崎区,中島３丁目,35.5268913,139.7163172
10030,川崎区,日進町,35.5259814,139.6939041
10031,川崎区,東田町,35.5275,139.701
10032,川崎区,富士見１丁目,35.5315993,139.7109474
10033,川崎区,富士見２丁目,35.5277167,139.7109632
10034,川崎区,堀之内町,35.5330643,139.7060619
10035,川崎区,本町１丁目,35.5315,139.7005
10036,川崎区,本町２丁目,35.5325,139.7015
10037,川崎区,港町,35.5315,139.7078
10038,川崎区,南町,35.525717,139.6989984
10039,川崎区,宮前町,35.5281942,139.7056517
10040,川崎区,宮本町,35.5295,139.7025
10041,川崎区,元木１丁目,35.5237542,139.6993407
10042,川崎区,元木２丁目,35.5222124,139.6960813
10043,川崎区,渡田１丁目,35.5227965,139.7076546
10044,川崎区,渡田２丁目,35.5208523,139.7062624
10045,川崎区,渡田３丁目,35.5188516,139.7052074
10046,川崎区,渡田４丁目,35.5178891,139.7031789
10047,川崎区,渡田山王町,35.5177264,139.6969965
10048,川崎区,渡田新町１丁目,35.5221138,139.7002162
10049,川崎区,渡田新町２丁目,35.5210254,139.6994309
10050,川崎区,渡田新町３丁目,35.5196535,139.6989278
10051,川崎区,渡田東町,35.5181513,139.7078908
10052,川崎区,渡田向町,35.5216799,139.7032513
11001,川崎区,池上新町１丁目,35.523233,139.7280385
11002,川崎区,池上新町２丁目,35.5245006,139.7303306
11003,川崎区,池上新町３丁目,35.5218401,139.7338242
11004,川崎区,伊勢町,35.528,139.6985
11005,川崎区,浮島町,35.5318437,139.7687813
11006,川崎区,江川１丁目,35.5372576,139.743287
11007,川崎区,江川２丁目,35.5318437,139.7687813
11008,川崎区,川中島１丁目,35.5322289,139.7269072
11009,川崎区,川中島２丁目,35.530245,139.7275362
11010,川崎区,観音１丁目,35.5274896,139.7264342
11011,川崎区,観音２丁目,35.5275147,139.7295768
11012,川崎区,小島町,35.5318437,139.7687813
11013,川崎区,塩浜１丁目,35.5285229,139.7410264
11014,川崎区,塩浜２丁目,35.523486,139.737703
11015,川崎区,塩浜３丁目,35.5216173,139.7411998
11016,川崎区,塩浜４丁目,35.5291171,139.7465136
11017,川崎区,昭和１丁目,35.533096,139.7371203
11018,川崎区,昭和２丁目,35.5309376,139.7376674
11019,川崎区,田町１丁目,35.5352679,139.7422215
11020,川崎区,田町２丁目,35.5345273,139.7453675
11021,川崎区,田町３丁目,35.5318437,139.7687813
11022,川崎区,大師駅前１丁目,35.534689,139.7269628
11023,川崎区,大師駅前２丁目,35.5340661,139.7233122
11024,川崎区,大師河原１丁目,35.5372576,139.743287
11025,川崎区,大師河原２丁目,35.5372958,139.7418432
11026,川崎区,大師公園,35.531721,139.731413
11027,川崎区,大師町,35.5338309,139.7306612
11028,川崎区,大師本町,35.5357078,139.7302243
11029,川崎区,台町,35.530126,139.732938
11030,川崎区,千鳥町,35.5168068,139.7557351
11031,川崎区,出来野,35.5336785,139.7399019
11032,川崎区,殿町１丁目,35.5393374,139.7437888
11033,川崎区,殿町２丁目,35.5401004,139.7476991
11034,川崎区,殿町３丁目,35.5318437,139.7687813
11035,川崎区,中瀬１丁目,35.5398419,139.7287681
11036,川崎区,中瀬２丁目,35.5376368,139.7278335
11037,川崎区,中瀬３丁目,35.5391729,139.7320721
11038,川崎区,東扇島,35.49719,139.753955
11039,川崎区,東門前１丁目,35.5355198,139.7333703
11040,川崎区,東門前２丁目,35.5333941,139.7346956
11041,川崎区,東門前３丁目,35.5355198,139.7365255
11042,川崎区,日ノ出１丁目,35.5317845,139.7417848
11043,川崎区,日ノ出２丁目,35.5317597,139.7442016
11044,川崎区,藤崎１丁目,35.5293318,139.7210407
11045,川崎区,藤崎２丁目,35.5266851,139.7207566
11046,川崎区,藤崎３丁目,35.5278092,139.7241752
11047,川崎区,藤崎４丁目,35.5243892,139.7221908
11048,川崎区,水江町,35.5096405,139.7443334
11049,川崎区,夜光１丁目,35.5282412,139.7534879
11050,川崎区,夜光２丁目,35.5239679,139.7450469
11051,川崎区,夜光３丁目,35.5175108,139.7416851
11052,川崎区,四谷上町,35.5296902,139.7038971
11053,川崎区,四谷下町,35.5296902,139.7038971
12001,川崎区,浅田１丁目,35.5069604,139.7049012
12002,川崎区,浅田２丁目,35.5071935,139.702693
12003,川崎区,浅田３丁目,35.5073101,139.7000413
12004,川崎区,浅田４丁目,35.5044642,139.7004538
12005,川崎区,浅野町,35.5130508,139.7258586
12006,川崎区,池上町,35.517079,139.7316229
12007,川崎区,追分町,35.5193105,139.7147033
12008,川崎区,大川町,35.4952181,139.7147839
12009,川崎区,扇島,35.488,139.725
12010,川崎区,扇町,35.5105,139.735
12011,川崎区,小田２丁目,35.5134504,139.6996067
12012,川崎区,小田３丁目,35.513581,139.7039782
12013,川崎区,小田４丁目,35.5106869,139.7004407
12014,川崎区,小田５丁目,35.5111699,139.7060068
12015,川崎区,小田６丁目,35.5090872,139.7057322
12016,川崎区,小田７丁目,35.5090819,139.7086656
12017,川崎区,小田栄１丁目,35.5160531,139.7045119
12018,川崎区,小田栄２丁目,35.51359,139.7088293
12019,川崎区,鋼管通１丁目,35.5177706,139.7128273
12020,川崎区,鋼管通２丁目,35.5162635,139.7153502
12021,川崎区,鋼管通３丁目,35.5139562,139.7136322
12022,川崎区,鋼管通４丁目,35.5116173,139.7124081
12023,川崎区,鋼管通５丁目,35.5107562,139.7142699
12024,川崎区,桜本１丁目,35.5192136,139.7229601
12025,川崎区,桜本２丁目,35.5216793,139.7255724
12026,川崎区,白石町,35.5135,139.716
12027,川崎区,田島町,35.5318437,139.7687813
12028,川崎区,田辺新田,35.5047259,139.7072352
12029,川崎区,浜町１丁目,35.534,139.705
12030,川崎区,浜町２丁目,35.5355,139.7055
12031,川崎区,浜町３丁目,35.537,139.706
12032,川崎区,浜町４丁目,35.5385,139.7065
12033,川崎区,南渡田町,35.5083574,139.7164516
20001,幸区,遠藤町,35.5423134,139.6923886
20002,幸区,大宮町,35.5299976,139.6934161
20003,幸区,河原町,35.5398668,139.6941208
20004,幸区,小向,35.5504851,139.7016066
20005,幸区,小向町,35.5475607,139.6952767
20006,幸区,小向東芝町,35.5501467,139.6903155
20007,幸区,小向仲野町,35.5504143,139.696698
20008,幸区,小向西町１丁目,35.5480299,139.6914254
20009,幸区,小向西町２丁目,35.5465901,139.6909795
20010,幸区,小向西町３丁目,35.5480035,139.6877854
20011,幸区,小向西町４丁目,35.546137,139.6876597
20012,幸区,紺屋町,35.5423811,139.6899633
20013,幸区,幸町１丁目,35.5349861,139.6981122
20014,幸区,幸町２丁目,35.5368344,139.6995268
20015,幸区,幸町３丁目,35.5376966,139.6975226
20016,幸区,幸町４丁目,35.535547,139.6961397
20017,幸区,下平間,35.55061,139.6803594
20018,幸区,神明町１丁目,35.5395395,139.6893824
20019,幸区,神明町２丁目,35.5378426,139.6888577
20020,幸区,塚越１丁目,35.546502,139.678527
20021,幸区,塚越２丁目,35.5450059,139.6806193
20022,幸区,塚越３丁目,35.5421551,139.6777808
20023,幸区,塚越４丁目,35.5416493,139.6816503
20024,幸区,戸手１丁目,35.5453774,139.690783
20025,幸区,戸手２丁目,35.5453084,139.6928605
20026,幸区,戸手３丁目,35.545561,139.6951178
20027,幸区,戸手４丁目,35.5420328,139.6962207
20028,幸区,戸手本町１丁目,35.543192,139.6871772
20029,幸区,戸手本町２丁目,35.5397717,139.6863062
20030,幸区,中幸町１丁目,35.5370471,139.6932204
20031,幸区,中幸町２丁目,35.5371216,139.6953502
20032,幸区,中幸町３丁目,35.5335733,139.6939679
20033,幸区,中幸町４丁目,35.5337445,139.69252
20034,幸区,東古市場,35.5523919,139.6906676
20035,幸区,古市場,35.5552195,139.6889405
20036,幸区,古市場１丁目,35.5536705,139.6858605
20037,幸区,古市場２丁目,35.5548718,139.6823618
20038,幸区,古川町,35.5460836,139.682872
20039,幸区,堀川町,35.5340092,139.6978937
20040,幸区,南幸町１丁目,35.5355172,139.689899
20041,幸区,南幸町２丁目,35.5331836,139.6906074
20042,幸区,南幸町３丁目,35.5331237,139.6865313
20043,幸区,都町,35.5369305,139.6895075
20044,幸区,柳町,35.5291914,139.6889876
20045,幸区,新塚越,35.5494042,139.676964
21001,幸区,小倉,35.5401291,139.6684552
21004,幸区,北加瀬１丁目,35.5501895,139.6673948
21005,幸区,北加瀬２丁目,35.5524839,139.6619874
21006,幸区,北加瀬３丁目,35.555986,139.6615649
21007,幸区,南加瀬１丁目,35.547891,139.6661673
21008,幸区,南加瀬２丁目,35.5478865,139.6618808
21009,幸区,南加瀬３丁目,35.5432863,139.663888
21010,幸区,南加瀬４丁目,35.545,139.6655
21011,幸区,南加瀬５丁目,35.547,139.664
21012,幸区,矢上,35.5535,139.657
21013,幸区,新川崎,35.5514608,139.6718368
21014,幸区,新小倉,35.540872,139.673985
21015,幸区,東小倉,35.5442281,139.6757544
21016,幸区,小倉１丁目,35.5451522,139.6701695
21017,幸区,小倉２丁目,35.5414262,139.6671433
21018,幸区,小倉３丁目,35.541435,139.670755
21019,幸区,小倉４丁目,35.5376544,139.670901
21020,幸区,小倉５丁目,35.537085,139.665565
21021,幸区,鹿島田１丁目,35.5509805,139.67326
21022,幸区,鹿島田２丁目,35.554704,139.671642
21023,幸区,鹿島田３丁目,35.5591694,139.6693591
30005,中原区,市ノ坪,35.567422,139.664481
30010,中原区,大倉町,35.556774,139.665973
30012,中原区,上新城１丁目,35.581,139.638
30013,中原区,上新城２丁目,35.58722,139.630813
30014,中原区,上平間,35.559946,139.677571
30015,中原区,上丸子,35.574764,139.664298
30016,中原区,上丸子山王町１丁目,35.578982,139.668365
30017,中原区,上丸子山王町２丁目,35.576142,139.666579
30018,中原区,上丸子天神町,35.586928,139.66357
30019,中原区,上丸子八幡町,35.582599,139.667963
30021,中原区,北谷町,35.562575,139.671567
30027,中原区,小杉,35.5766239,139.6607166
30028,中原区,小杉御殿町１丁目,35.583962,139.652437
30029,中原区,小杉御殿町２丁目,35.579423,139.653391
30030,中原区,小杉陣屋町１丁目,35.585031,139.658407
30031,中原区,小杉陣屋町２丁目,35.585132,139.65604
30032,中原区,小杉町１丁目,35.579357,139.658607
30033,中原区,小杉町２丁目,35.579455,139.656175
30034,中原区,小杉町３丁目,35.574686,139.657252
30036,中原区,下小田中１丁目,35.579784,139.637806
30037,中原区,下小田中２丁目,35.577623,139.643486
30038,中原区,下小田中３丁目,35.573154,139.643202
30039,中原区,下小田中４丁目,35.576185,139.637997
30040,中原区,下小田中５丁目,35.574075,139.63411
30041,中原区,下小田中６丁目,35.57122,139.637288
30042,中原区,下新城１丁目,35.5800564,139.6334844
30043,中原区,下新城２丁目,35.577461,139.632675
30044,中原区,下新城３丁目,35.579671,139.630402
30045,中原区,下沼部,35.574007,139.668804
30046,中原区,新城,35.5785,139.6365
30047,中原区,新城１丁目,35.58526,139.631542
30048,中原区,新城２丁目,35.582811,139.63164
30049,中原区,新城３丁目,35.585398,139.630159
30050,中原区,新城４丁目,35.582792,139.630059
30051,中原区,新城５丁目,35.5795,139.6345
30052,中原区,新城中町,35.583254,139.633532
30053,中原区,新丸子東１丁目,35.580086,139.663177
30054,中原区,新丸子東２丁目,35.577759,139.662374
30055,中原区,新丸子東３丁目,35.574728,139.6612
30056,中原区,新丸子町,35.579381,139.660603
30057,中原区,田尻町,35.559488,139.672165
30059,中原区,中丸子,35.568518,139.668859
30061,中原区,丸子通１丁目,35.582999,139.66455
30062,中原区,丸子通２丁目,35.58328,139.661594
30064,中原区,宮内１丁目,35.594809,139.644987
30065,中原区,宮内２丁目,35.590908,139.638814
30066,中原区,宮内３丁目,35.590812,139.643723
30067,中原区,宮内４丁目,35.58606,139.644465
30068,中原区,等々力,35.58918,139.653175
30069,中原区,上小田中１丁目,35.593112,139.630566
30070,中原区,上小田中２丁目,35.588425,139.63638
